,m1,m2
anneal,0.991060615414548,0.991060615414548
audiology,0.45991127632431983,0.45991127632431983
australian,0.8593813177444891,0.8593813177444891
autos,0.8052439976753478,0.8052439976753478
balance-scale,0.7408066614623992,0.7392193598750976
breast-cancer,0.7067077175697866,0.7067077175697866
breast-w,0.9513434228559765,0.9513434228559765
credit-a,0.8319467787114846,0.8319467787114846
credit-g,0.7330000000000001,0.7330000000000001
diabetes,0.7435577580314423,0.7435577580314423
glass,0.6947992345818432,0.6809059539494322
heart-c,0.81540971449759,0.812183908045977
heart-h,0.6566174055829228,0.6566174055829228
heart-statlog,0.8259259259259257,0.8222222222222222
hepatitis,0.7988725490196079,0.7988725490196079
house-votes-84,0.9264094432699084,0.9264094432699084
hypothyroid,0.9856917412329771,0.9856917412329771
ionosphere,0.9254108309990665,0.9254108309990665
iris,0.9466666666666667,0.9466666666666667
kr-vs-kp,0.9508963126712804,0.9508963126712804
lymph,0.7886507936507936,0.7886507936507936
mushroom,0.9992618411405789,0.9992618411405789
pima,0.7435577580314423,0.7435577580314423
primary-tumor,0.4458389176488147,0.44271391764881474
segment,0.8995670995670995,0.8995670995670995
sick,0.974816458221062,0.974816458221062
sonar,0.7313203463203463,0.7451731601731602
soybean,0.8051032597701979,0.8051032597701979
spambase,0.8424197821268573,0.8424197821268573
tic-tac-toe,1.0,1.0
vehicle,0.6841445859894437,0.6781922050370627
vowel,0.6717171717171717,0.6434343434343435
