,m1,m2,ARC
anneal,99.1,99.1,94.0
audiology,45.6,46.0,59.0
australian,85.9,85.9,86.0
autos,81.0,81.0,70.0
balance-scale,74.1,73.9,69.0
breast-cancer,70.7,70.7,73.0
breast-w,95.1,95.1,97.0
credit-a,83.2,83.2,85.0
credit-g,73.3,73.3,74.0
diabetes,74.4,74.4,74.0
glass,69.5,68.1,71.0
heart-c,81.5,81.2,83.0
heart-h,65.7,65.7,82.0
heart-statlog,82.6,82.2,80.0
hepatitis,79.9,79.9,82.0
house-votes-84,92.6,92.6,93.0
hypothyroid,98.6,98.6,97.0
ionosphere,92.5,92.5,91.0
iris,94.7,94.7,92.0
kr-vs-kp,95.1,95.1,92.0
lymph,78.9,78.9,81.0
mushroom,99.9,99.9,100.0
pima,74.4,74.4,74.0
primary-tumor,44.6,44.3,33.0
segment,90.0,90.0,82.0
sick,97.5,97.5,97.0
sonar,73.1,74.5,75.0
soybean,80.5,80.5,64.0
spambase,84.2,84.2,91.0
tic-tac-toe,100.0,100.0,75.0
vehicle,68.4,67.8,57.0
vowel,67.2,64.3,30.0
